Facility,Facility Type,Location,BU/Network,Region,Market/Type,Facility Manager,Academy #,Academy Address,Phone Number,Academy Leader,Academy Coordinator,Academy Sr. Manager,Academy Director,Academy location
2584,WM SUPERCENTER,4375 LAWRENCEVILLE HWY TUCKER GA,SOUTHEAST BU - NICK BERKELEY,2 - SEAN REAL,23 - MARCHAZ MCAFEE,N/A,3388,1400 LAWRENCEVILLE HWY LAWRENCEVILLE GA 30044,(470) 219-6634,JANAE WILLIAMS,Judy Wilson,Kimberly Austin,Sherry Brown,The academy is located in the back stockroom. Enter through the doors behind Entertainment and turn left.
2585,WAL-MART,150 BARNUM AVENUE CUTOFF STRATFORD CT,EAST BU - ANNIE WALKER,17 - NICO VASSOL,173 - JEFFREY PETERSEN,SHIREKA CAROLL,2371,844 N COLONY RD WALLINGFORD CT 6492,(203) 303-2333,Bonnie Tatro,Evelyn Smiles,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Electronics Department
2586,WM SUPERCENTER,2500 WALDEN AVE CHEEKTOWAGA NY,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,195 - JOHN EMERY,ERIN COLE,2088,4133 VETERANS MEMORIAL DR BATAVIA NY 14020,(585) 345-9806,Julie Davis,Amy Rees,Lisa Lafreniere,Keri Peck,"Academy is located in the backroom, past the Associate Resource Center"
2587,WM SUPERCENTER,304 S ROCKWOOD DR CABOT AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,326 - HAROLD REYNOLDS,CARL MORRIS,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
2588,WM SUPERCENTER,100 WALMART DR NORTH VERSAILLES PA,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,227 - GEORGE GEORGIEV,KAREN KALLAM,3738,100 HIGHLANDS MALL NATRONA HEIGHTS PA 15065,(724) 230-5064,Dianne Russell,Deanna Herrle,Shane Neilson,Keri Peck,Academy is located in the backroom by Dairy
2589,WM SUPERCENTER,TBA LAS VEGAS NV,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,394 - ALBERT GORDON,N/A,,,,,,,,
2590,NEIGHBORHOOD MARKET,7650 NE SHALEEN ST HILLSBORO OR,NHM BU - ,61 - TODD PETERSON,550 - TIFFANY LAVIN,IGOR ROMANOV,2550,221E NE 104TH AVE VANCOUVER WA 98664,(360) 254-8565,Rachel Harris,Jessy Dove,Benjamin Mattheisen,Sherry Brown,Modular building in back of Walmart next to ACC
2591,WM SUPERCENTER,151 SW 184TH AVE PEMBROKE PINES FL,SOUTHEAST BU - NICK BERKELEY,9 - LACEY MCGUIRE,109 - FRANK MEDINA,FRANCIS PADILLA,2591,151 SW 184TH AVE PEMBROKE PINES FL 33029,(954) 266-6223,Shakisha Lawrence,DARRELL CARR,Shane Rutherford,Sherry Brown,"GM Backroom- Take the isle just to the right of the Electronics Department (Toys Section);Look for this sign: “Walmart Leaders trained through these doors.”_x000D_
"
2592,WM SUPERCENTER,1807 W CRAIG RD NORTH LAS VEGAS NV,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,394 - ALBERT GORDON,AMANDA MARTINEZ,3350,5198 BOULDER HWY LAS VEGAS NV 89122,(702) 473-7506,Rachelle Pacheaco,Lisa Hogan,Waylon Waldron,Keri Peck,Academy is located on General Merchandise side of store in the backroom; near Sporting Goods go through Sporting Goods doors and Academy is located to the left. 
2593,WM SUPERCENTER,2310 E SERENE AVE LAS VEGAS NV,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,396 - CANDACE STEIN,ONYEDIKACHUKWU NWADIKE,3350,5198 BOULDER HWY LAS VEGAS NV 89122,(702) 473-7506,Rachelle Pacheaco,Lisa Hogan,Waylon Waldron,Keri Peck,Academy is located on General Merchandise side of store in the backroom; near Sporting Goods go through Sporting Goods doors and Academy is located to the left. 
2594,WAL-MART,1400 164TH ST SW LYNNWOOD WA,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,471 - JOSH PLANT,RICK POYNTER,5041,19205 STATE ROUTE 410 E BONNEY LAKE WA 98391,(253) 862-4688,Katie Wilkinson,Becky Munson,Benjamin Mattheisen,Sherry Brown,BR GM side next to Sporting Goods
2595,WM SUPERCENTER,8924 QUILCEDA BLVD MARYSVILLE WA,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,471 - JOSH PLANT,BRIDGET CRIST,5041,19205 STATE ROUTE 410 E BONNEY LAKE WA 98391,(253) 862-4688,Katie Wilkinson,Becky Munson,Benjamin Mattheisen,Sherry Brown,BR GM side next to Sporting Goods
2596,WM SUPERCENTER,2301 FREEWAY DR MOUNT VERNON WA,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,471 - JOSH PLANT,CHRISTOPHER JOHNSON,5041,19205 STATE ROUTE 410 E BONNEY LAKE WA 98391,(253) 862-4688,Katie Wilkinson,Becky Munson,Benjamin Mattheisen,Sherry Brown,BR GM side next to Sporting Goods
2597,WM SUPERCENTER,10 KIMBERLY LN CRANBERRY PA,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,228 - BENJAMIN PFEUFER,ALLANA KINNEAR,1568,1275 N HERMITAGE RD HERMITAGE PA 16148,(724) 718-9031,Kyle Korchak,Stephanie Rhoades,Shane Neilson,Keri Peck,Academy is located in the backroom near Sporting Goods
2598,WAL-MART,3661 TRUXEL RD SACRAMENTO CA,WEST BU - JAY CORDRAY,56 - CHRISTOPHER NELSON,453 - MICHELLE KENT,SANGITA KUMAR,3587,5454 CROSSINGS DR ROCKLIN CA 95677,(916) 824-0931,Deborah Turner,Coltara Cady,Benjamin Mattheisen,Sherry Brown,Academy is located in the lawn and garden department. 
2599,WM SUPERCENTER,5555 DE ZAVALA RD SAN ANTONIO TX,SOUTHWEST BU - PAUL LEWELLEN,7 - JESSICA VILLANUEVA,86 - LAURA RAMOS,MARK GARZA,999,7239 SW LOOP 410 SAN ANTONIO TX 78242,(210) 247-5924,Roni Rodriguez,Emma Arambula,Katrina Sampson,Keri Peck,Academy is located in a separate (modular) building at the end of GM side parking lot outside of Garden Center.
2600,WM SUPERCENTER,100 THF BLVD CHESTERFIELD MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,339 - STEVE BUSSMANN,JENNIFER MOTT,1161,2897 VETERANS MEMORIAL PKWY SAINT CHARLES MO 63303,(636) 866-0505,Crystal Vohsen,Yuriko Harewood,Beth Wiseman,Sherry Brown,"Academy location is located between Sam's and Walmart, closest to Grocery door"
2601,MAINTENANCE TRUCKING,1065 FORT PRINCE BLVD WELLFORD SC,TRANSPORTATION - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2602,WM SUPERCENTER,TBA LEBANON TN,SOUTHEAST BU - NICK BERKELEY,12 - JASON SCHWINDT,152 - MONIQUE COPELAND,N/A,,,,,,,,
2603,WAL-MART,300 WALMART DR GIBSONIA PA,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,229 - DONALD HENRY,RYAN PAVELCHICK,3738,100 HIGHLANDS MALL NATRONA HEIGHTS PA 15065,(724) 230-5064,Dianne Russell,Deanna Herrle,Shane Neilson,Keri Peck,Academy is located in the backroom by Dairy
2604,WAL-MART,26 HAMPTON HOUSE RD NEWTON NJ,EAST BU - ANNIE WALKER,17 - NICO VASSOL,174 - AIRFONZIA PETERSON JR.,GABRIEL DIAZ,3795,2100 88TH ST NORTH BERGEN NJ 7047,(201) 305-7136,JUSTIN WRIGHT,Chaitali Gandhi,Lisa Lafreniere,Keri Peck,Academy is located on the Frontend between Subway & Vision Center
2605,WM SUPERCENTER,2145 EASTERN AVE GALLIPOLIS OH,NORTH BU - GLENDA FLEMING WILLIS,21 - N/A,218 - DARREN PAUL,RICKEY GAINEY,5296,25 NICHOLS DR BARBOURSVILLE WV 25504,(304) 948-4106,Kimberly Bray,Teresa Thompson,Shane Neilson,Keri Peck,Academy is located in a separate (modular) building to the left of the store.
2606,WM SUPERCENTER,721 US HIGHWAY 321 BYP S UNIT 1 WINNSBORO SC,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2607,WM SUPERCENTER,36318 MEMORY LN POLSON MT,WEST BU - JAY CORDRAY,47 - MICHAEL CANUP,383 - SERGEY BOZU,DAVID TOLLEY,1872,2750 PROSPECT AVE HELENA MT 59601,(406) 437-9089,Daniel Lange,Tina Moll,Benjamin Mattheisen,Sherry Brown,BR Grocery side towards center of building
2608,WM SUPERCENTER,3205 STOWER ST MILES CITY MT,WEST BU - JAY CORDRAY,47 - MICHAEL CANUP,382 - JAMES PARKER,DAYNA ADLER,1872,2750 PROSPECT AVE HELENA MT 59601,(406) 437-9089,Daniel Lange,Tina Moll,Benjamin Mattheisen,Sherry Brown,BR Grocery side towards center of building
2609,WM SUPERCENTER,2770 CARSON ST LAKEWOOD CA,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,465 - RICK DUERLINGER,LORRAINE HERRERA,2886,8500 WASHINGTON BLVD PICO RIVERA CA 90660,(562) 551-3060,ROB DUSKY,Vanessa Serpa,Waylon Waldron,Keri Peck,Through the double doors by dairy
2610,WM SUPERCENTER,77 NORMAN MORGAN BLVD LOGAN WV,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,316 - CHRISTOPHER ROCKENSTEIN,BENJAMIN WAGNER,5296,25 NICHOLS DR BARBOURSVILLE WV 25504,(304) 948-4106,Kimberly Bray,Teresa Thompson,Shane Neilson,Keri Peck,Academy is located in a separate (modular) building to the left of the store.
2611,WM SUPERCENTER,2100 SUMMIT RIDGE PLZ MOUNT PLEASANT PA,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,235 - TEDDY TOUSSAINT,ROBERT MATHERS,3738,100 HIGHLANDS MALL NATRONA HEIGHTS PA 15065,(724) 230-5064,Dianne Russell,Deanna Herrle,Shane Neilson,Keri Peck,Academy is located in the backroom by Dairy
2612,WM SUPERCENTER,1850 N ZARAGOZA RD EL PASO TX,SOUTHWEST BU - PAUL LEWELLEN,7 - JESSICA VILLANUEVA,505 - KIRK BEHRENS,CARLOS RAMIREZ,3136,13900 HORIZON BLVD HORIZON CITY TX 79928,(915) 206-6204,Sam Mullins,Rhonette Sanchez,Katrina Sampson,Keri Peck,Academy is located in the backroom  by Paper Goods 
2613,WM SUPERCENTER,1875 E MANSFIELD ST BUCYRUS OH,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,213 - DENISE SEIFERT,ANGELA SLOAN,3840,1161 TRENTON AVE FINDLAY OH 45840,(567) 525-7253,Michael Ruff,Niki Cramer,Keith Leardon,Sherry Brown,Academy is located in the backroom by Sporting Goods
2614,WM SUPERCENTER,5370 ALLENTOWN PIKE TEMPLE PA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,168 - NICOLE EVERETT,THOMAS SCOTT,2445,1515 BETHLEHEM PIKE HATFIELD PA 19440,(215) 716-7457,Stan Tilton,Brian Thomson,Lisa Lafreniere,Keri Peck,Academy is located in the backroom near the Chemical Department
2615,WM SUPERCENTER,3274 INNER PERIMETER RD VALDOSTA GA,SOUTHEAST BU - NICK BERKELEY,3 - ABIGAIL BELOBRAYDIC,27 - SAMUEL CUFFEY,BRENDALI RIVERA,1006,1215 E 16TH AVE CORDELE GA 31015,(229) 947-6250,Donna Adkins,Jacquiria Patillo,Kimberly Austin,Sherry Brown,"Module Building behind store 1006 on GM side, next to TLE."
2616,WM SUPERCENTER,1307 HIGHWAY K O FALLON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,339 - STEVE BUSSMANN,DENNIS OMALLEY,1161,2897 VETERANS MEMORIAL PKWY SAINT CHARLES MO 63303,(636) 866-0505,Crystal Vohsen,Yuriko Harewood,Beth Wiseman,Sherry Brown,"Academy location is located between Sam's and Walmart, closest to Grocery door"
2617,WM SUPERCENTER,3010 POTATO RD WINNEMUCCA NV,WEST BU - JAY CORDRAY,56 - N/A,399 - TIM BARNHART,KIMBERLY RILEY,2508,8300 W OVERLAND RD BOISE ID 83709,(208) 375-4266,Kimberly Knight,Brittany Howard,Benjamin Mattheisen,Sherry Brown,Academy is located in the grocery backroom continue to walk through the doors and straight back to the end of the backroom.
2618,WM SUPERCENTER,3301 N PONTIAC TRL COMMERCE MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,203 - TIMOTHY LYONS,N/A,4660,18400 HALL RD CLINTON TOWNSHIP MI 48038,(586) 840-0731,Tanya Reyes,Tabitha Cargill,Keith Leardon,Sherry Brown,Academy located in center of backroom.
2619,WM SUPERCENTER,910 JOE MANN BLVD MIDLAND MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,204 - LISA PFAFF,CHASITY HALM,1733,1621 E M 21 OWOSSO MI 48867,(989) 472-5205,Carmen Bowers,Cheryl Chrzan,Keith Leardon,Sherry Brown,Academy is located in the backroom by Sporting Goods
2620,WM SUPERCENTER,1618 W M 43 HWY HASTINGS MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,202 - CHRISTINA EMMONS,DONALD COOK,5065,501 N 9TH ST KALAMAZOO MI 49009,(269) 544-0445,Haylee Willden,Corinne Straka,Keith Leardon,Sherry Brown,Academy is a modular building located across from GM side of building
2621,WAL-MART,255 COCHRAN ST SIMI VALLEY CA,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,446 - BE KIM,RAQUEL MARTINEZ,3523,26471 CARL BOYER DR SANTA CLARITA CA 91350,(661) 666-9498,Mathew Sheldon,DAVEE RENEAUX,Waylon Waldron,Keri Peck,Through the double doors by bakery
2622,WALMART.COM,8660 US HWY 79 SOUTH PALESTINE TX,ECOMMERCE - RETAIL SUBDIVISION S - ,0 - N/A,0 - N/A,N/A,,,,,,,,
2623,WALMART.COM,1530 E STATE ROAD 240 GREENCASTLE IN,ECOMMERCE - RETAIL SUBDIVISION W - ,68 - N/A,715 - N/A,N/A,,,,,,,,
2624,WALMART.COM,200 VETERANS DR TOBYHANNA PA,ECOMMERCE - RETAIL SUBDIVISION W - ,68 - N/A,715 - N/A,N/A,,,,,,,,
2625,WM ON CAMPUS/RX FACILITIES,1025 W TRINITY MILLS CARROLLTON TX,RETAIL SUBDIVISION Z - ,55 - N/A,600 - N/A,N/A,,,,,,,,
2626,WM SUPERCENTER,6868 US HIGHWAY 129 LIVE OAK FL,SOUTHEAST BU - NICK BERKELEY,3 - ABIGAIL BELOBRAYDIC,101 - SEDRICK UTLEY,VANESSA REED,1408,4400 W TENNESSEE ST TALLAHASSEE FL 32304,(850) 895-8216,Anthony Bianco,Edward Berk,Kimberly Austin,Sherry Brown,"Academy is located in modular unit locatated outside, on GM side across from OGP parking. "
2627,WM SUPERCENTER,2701 E FLETCHER AVE TAMPA FL,SOUTHEAST BU - NICK BERKELEY,3 - ABIGAIL BELOBRAYDIC,112 - THOMAS COOPER,LAUREN DEGRUSHE,2387,11110 CAUSEWAY BLVD BRANDON FL 33511,(813) 413-3056,WILLIAM DORKOWSKI,Jana Tilka,Shane Rutherford,Sherry Brown,Academy location GM Backroom area 
2628,WM SUPERCENTER,4051 NICHOLASVILLE RD LEXINGTON KY,NORTH BU - GLENDA FLEMING WILLIS,41 - JAMES VALENTI,260 - JAMIE CAMPBELL,EMILY MCGEE,3894,2350 GREY LAG WAY LEXINGTON KY 40509,(859) 629-4687,Sam Revlett,Danielle Dwyer,Keith Leardon,Sherry Brown,Academy is located in the backroom by Sporting Goods
2629,WM SUPERCENTER,100 VALLEY PKWY WHITINSVILLE MA,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,156 - DANIELLE ROESCH,JOHN MAXWELL,3409,20 SOOJIAN DR LEICESTER MA 1524,(508) 892-1060,Shannon Mulcahy,Matthew Rutter,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Infants and Grocery Department
2630,WM SUPERCENTER,1100 N 1ST ST JESUP GA,SOUTHEAST BU - NICK BERKELEY,3 - ABIGAIL BELOBRAYDIC,28 - GENE JOSEPH,WARREN WOHLGEMUTH,1172,13490 BEACH BLVD JACKSONVILLE FL 32224,(904) 661-4686,Dunyall Frison,Jennifer Scarberry,Kimberly Austin,Sherry Brown,"Academy is located in back left corner of store, backroom, behind Sporting Goods."
2631,WM SUPERCENTER,29555 PLYMOUTH RD LIVONIA MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,197 - ANTHONY GONINO,STACY PAYNE,4660,18400 HALL RD CLINTON TOWNSHIP MI 48038,(586) 840-0731,Tanya Reyes,Tabitha Cargill,Keith Leardon,Sherry Brown,Academy located in center of backroom.
2632,NEIGHBORHOOD MARKET,115 E DUNLAP AVE PHOENIX AZ,NHM BU - ,61 - TODD PETERSON,510 - RAY SHOUSE,JOHN TYLER,1533,7975 W PEORIA AVE PEORIA AZ 85345,(623) 255-3422,Debbie Sanchez,Martha Juarez,Waylon Waldron,Keri Peck,Academy is located in the backroom through Sporting Good.
2633,WAL-MART,1303 CENTENNIAL AVE PISCATAWAY NJ,EAST BU - ANNIE WALKER,17 - NICO VASSOL,175 - JOHN JEFFRIES,KANOVA TANKSLEY,4153,2825 STATE ROUTE 18 OLD BRIDGE NJ 8857,(732) 353-4454,JESSE SZPILA,AMIE DESOUZA,Lisa Lafreniere,Keri Peck,Academy is located in the backroom near Electronics Department
2634,WM SUPERCENTER,561 MAIN ST GORHAM NH,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,180 - DAVID MCCAFFERTY,ANDY PEPIN,2055,344 LOUDON RD CONCORD NH 3301,(603) 573-4154,Christopher Carrie,Tammy Valyou,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Electronics Department
2635,WALMART.COM,475 LILLARD DRIVE SPARKS NV,ECOMMERCE - RETAIL SUBDIVISION S - ,0 - N/A,0 - N/A,N/A,,,,,,,,
2636,WAL-MART,8230 TALBERT AVE HUNTINGTON BEACH CA,WEST BU - JAY CORDRAY,58 - FRANCISCO AHUMADA,466 - LESTER STOKER,SHANNON INNIS,2218,26502 TOWNE CENTRE DR FOOTHILL RANCH CA 92610,(949) 382-3276,Ramiro Lopez,Jimmy Nguyen,Waylon Waldron,Keri Peck,Through the double doors by bakery
2637,WM SUPERCENTER,288 LARKIN DR MONROE NY,EAST BU - ANNIE WALKER,17 - NICO VASSOL,164 - AARON KLEIN,ERIKA SOMERS,3795,2100 88TH ST NORTH BERGEN NJ 7047,(201) 305-7136,JUSTIN WRIGHT,Chaitali Gandhi,Lisa Lafreniere,Keri Peck,Academy is located on the Frontend between Subway & Vision Center
2638,WM SUPERCENTER,12504 U.S. ROUTE 60 ASHLAND KY,NORTH BU - GLENDA FLEMING WILLIS,21 - N/A,259 - ROBERT FELBER,BRADLEY BARTLEY,5296,25 NICHOLS DR BARBOURSVILLE WV 25504,(304) 948-4106,Kimberly Bray,Teresa Thompson,Shane Neilson,Keri Peck,Academy is located in a separate (modular) building to the left of the store.
2639,WM SUPERCENTER,1458 LAKE SHORE RD GILFORD NH,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,181 - CHRISTINA FOGG,MICHAEL KRAUSS,2055,344 LOUDON RD CONCORD NH 3301,(603) 573-4154,Christopher Carrie,Tammy Valyou,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Electronics Department
2640,WAL-MART,450 HIGHLAND AVE SALEM MA,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,157 - GREGORY BOOM,TYLER CHARRON,2142,326 N BROADWAY SALEM NH 3079,(603) 212-0394,Marianne Gentile,Noelle Heil,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Electronics Department
2641,WM SUPERCENTER,1091 MILLCREEK RD ALLENTOWN PA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,168 - NICOLE EVERETT,EVELYN RODRIGUEZ RODRIGUEZ,2445,1515 BETHLEHEM PIKE HATFIELD PA 19440,(215) 716-7457,Stan Tilton,Brian Thomson,Lisa Lafreniere,Keri Peck,Academy is located in the backroom near the Chemical Department
2642,WM SUPERCENTER,7835 150TH ST W APPLE VALLEY MN,WEST BU - JAY CORDRAY,52 - STEVEN REED,423 - OMAR ELGHANDOUR,MICHAEL MURPHY,1472,1752 N FRONTAGE RD HASTINGS MN 55033,(651) 438-2126,Stacey Hamblin,Katrina Tix,Viet Van Dong,Sherry Brown,"Academy is located in the general merchandise backroom via the door by the sporting goods department, then to the right."
2643,WM SUPERCENTER,10240 HUDSON RD WOODBURY MN,WEST BU - JAY CORDRAY,52 - STEVEN REED,422 - ROBERTO ENRIQUEZ BARTHROP,SHILOH KRESS,1472,1752 N FRONTAGE RD HASTINGS MN 55033,(651) 438-2126,Stacey Hamblin,Katrina Tix,Viet Van Dong,Sherry Brown,"Academy is located in the general merchandise backroom via the door by the sporting goods department, then to the right."
2644,WM SUPERCENTER,5825 BROCKWAY RD SAGINAW MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,204 - LISA PFAFF,ROBERT DARBY,1733,1621 E M 21 OWOSSO MI 48867,(989) 472-5205,Carmen Bowers,Cheryl Chrzan,Keith Leardon,Sherry Brown,Academy is located in the backroom by Sporting Goods
2645,WM SUPERCENTER,1451 S MAIN ST BLACKSTONE VA,EAST BU - ANNIE WALKER,75 - ALBERT BOSTIC,314 - JADE WHITE,SANDRA BARTLEBAUGH,4250,1001 SHILOH GLENN DR MORRISVILLE NC 27560,(919) 213-4490,Kathryn Thomas,Tiffany Locklear,Julie Stevens,Sherry Brown,Academy is located in the backroom near hardware department.
2646,WM SUPERCENTER,160 KINTER WAY PEARISBURG VA,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,317 - JAMES LOVE,CHEYANNE WALKER,2312,4807 VALLEY VIEW BLVD NW ROANOKE VA 24012,(540) 265-2419,PHILIP HOLCOMB,Diann King,Shane Neilson,Keri Peck,Academy is located in the backroom near the receiving area. 
2647,WM SUPERCENTER,461 W RESERVOIR RD WOODSTOCK VA,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,286 - LARRY JACKSON II,LISA MORRIS,1406,2350 S PLEASANT VALLEY RD WINCHESTER VA 22601,(540) 773-6158,Heather Dribelbis,Margaret Webber,Shane Neilson,Keri Peck,Academy is located in a white modular building in the parking lot in front of the Garden Center. Enter on the side with the ramp.
2648,WAL-MART,1919 DAVIS ST SAN LEANDRO CA,WEST BU - ,56 - CHRISTOPHER NELSON,511 - BALTAZAR GARCIA,SHIEKH IMTIYAZ,2025,3010 W GRANT LINE RD TRACY CA 95304,(209) 855-8333,Christina Rexroth,Joshua Stevens,Benjamin Mattheisen,Sherry Brown,Academy is located adjacent to the bakery department near the bread ailse. 
2649,WM SUPERCENTER,1635 MARKET PLACE BLVD IRVING TX,SOUTHWEST BU - PAUL LEWELLEN,5 - CHRISTOPHER NELSON,50 - MATTHEW BAUMER,ALAN DURKIN,1216,1213 E TRINITY MILLS RD CARROLLTON TX 75006,(972) 236-1149,Eric Curry,David Scheibe,Katrina Sampson,Keri Peck,Academy is located inside the building in grocery receiving with an entrance by dairy
2650,WM SUPERCENTER,4301 BYBERRY ROAD PHILADELPHIA PA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,170 - GEORGE TIRCH,ERICA COPPOLA,2445,1515 BETHLEHEM PIKE HATFIELD PA 19440,(215) 716-7457,Stan Tilton,Brian Thomson,Lisa Lafreniere,Keri Peck,Academy is located in the backroom near the Chemical Department
2651,WM SUPERCENTER,100 NORTH MAIN STREET MANVILLE NJ,EAST BU - ANNIE WALKER,17 - NICO VASSOL,175 - JOHN JEFFRIES,NICHOLAS LUBERTO,4153,2825 STATE ROUTE 18 OLD BRIDGE NJ 8857,(732) 353-4454,JESSE SZPILA,AMIE DESOUZA,Lisa Lafreniere,Keri Peck,Academy is located in the backroom near Electronics Department
2652,WM SUPERCENTER,1000 ROBERT RD GRANTS NM,SOUTHWEST BU - PAUL LEWELLEN,46 - RHONDA GRAHAM,384 - STEPHEN BOWLING,JAMES HANKINS,1397,10224 COORS BYP NW ALBUQUERQUE NM 87114,(505) 600-4117,David Hakhamian,Taelor Wyatt,Katrina Sampson,Keri Peck,Academy is located in the general Merchandise backroom near Toys
2653,WM SUPERCENTER,1604 E SPRUCE ST PORTALES NM,SOUTHWEST BU - PAUL LEWELLEN,7 - JESSICA VILLANUEVA,71 - RYAN CRUZ,ANTONIO TOWNSEND,3383,4215 CANYON DR AMARILLO TX 79110,(806) 513-6919,Larry Henry,Dana Hatchett,Katrina Sampson,Keri Peck,Academy is located inside the building in GM backroom with an entrance by Sporting Goods
2654,WM SUPERCENTER,1650 EDMONTON RD TOMPKINSVILLE KY,NORTH BU - GLENDA FLEMING WILLIS,41 - JAMES VALENTI,257 - DAVID BOGGS,RALPH VICK JR.,569,2988 BURKESVILLE RD COLUMBIA KY 42728,(270) 380-4014,Rebecca Spradlin,Ashley Fancher,Beth Wiseman,Sherry Brown,Academy entrance is located in the back corner of the automotive department.
2655,WM SUPERCENTER,NWC I 40 AND HWY 14 TIJERAS NM,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2656,WM SUPERCENTER,1610 N RIVERSIDE DR ESPANOLA NM,SOUTHWEST BU - PAUL LEWELLEN,46 - RHONDA GRAHAM,375 - ROMAN VESSELOV,N/A,1397,10224 COORS BYP NW ALBUQUERQUE NM 87114,(505) 600-4117,David Hakhamian,Taelor Wyatt,Katrina Sampson,Keri Peck,Academy is located in the general Merchandise backroom near Toys
2657,NEIGHBORHOOD MARKET,6085 W CHANDLER BLVD CHANDLER AZ,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2658,WM SUPERCENTER,1515 W PARADISE DR WEST BEND WI,NORTH BU - GLENDA FLEMING WILLIS,53 - SHANE JOHN BOURK,444 - SCOTT ROTHE,CAROL JENKINS,1394,10600 W LAYTON AVE GREENFIELD WI 53228,(414) 409-4873,Nicole Gulrud,Mark Sokolowski,Viet Van Dong,Sherry Brown,"Academy is located in the general merchandise backroom via the door by the paper goods department, then past the baler on the left."
2659,WAL-MART,206 US ROUTE 1 FALMOUTH ME,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,183 - MICHAEL GRAY,JOHANNY CONCEPCION,2142,326 N BROADWAY SALEM NH 3079,(603) 212-0394,Marianne Gentile,Noelle Heil,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Electronics Department
2660,WAL-MART,72 MAIN ST NORTH READING MA,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,157 - GREGORY BOOM,LUZ ALVAREZ,2142,326 N BROADWAY SALEM NH 3079,(603) 212-0394,Marianne Gentile,Noelle Heil,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Electronics Department
2661,WM SUPERCENTER,TBA 2661 DENVER CO,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
