Primary,Business Domain,Data Group ,,,,
Chinese,所有域,机构信息,其他 Massmart 受限的财务/商业秘密/专有和机密信息（Massmart 未公开或不可在公共领域获得，例如在产权登记处、Companies and Intellectual Property Commission（公司和知识产权委员会，CIPC）等）,高度敏感,业务信息,南非
Chinese,所有域,互联网、应用程序和网络活动,信件、电子邮件、电话、短信、彩信、即时消息,敏感,个人信息,全球
Chinese,所有域,法务部,诉讼和索赔信息 ,高度敏感,业务信息,全球
Chinese,所有域,在线跟踪技术,在线跟踪（如 Cookie）捐赠受益人姓名,敏感,个人信息,南非
Chinese,所有域,其他杂项数据 - 仅限英国,投诉和索赔,高度敏感,个人信息,英国
Chinese,所有域,个人标识符,营业执照号码,敏感,业务信息,全球
Chinese,所有域,个人标识符,航空公司飞行常客号码,高度敏感,个人信息,全球
Chinese,所有域,个人标识符,别名或曾用名,敏感,个人信息,全球
Chinese,所有域,个人标识符,沃尔玛发布的标识符（如用户名、供应商 ID、供货商 ID、WIN ID）,敏感,个人信息,全球
Chinese,所有域,个人标识符,业务联系人信息,敏感,个人信息,全球
Chinese,所有域,个人标识符,公司联系人业务地址,敏感,个人信息,全球
Chinese,所有域,个人标识符,公司联系人电话号码,敏感,个人信息,全球
Chinese,所有域,个人标识符,公司/成员业务地址,敏感,个人信息,全球
Chinese,所有域,个人标识符,公司/成员传真号码,敏感,个人信息,全球
Chinese,所有域,个人标识符,公司/成员电话号码,敏感,个人信息,全球
Chinese,所有域,个人标识符,紧急联系人详细信息,高度敏感,个人信息,加拿大
Chinese,所有域,个人标识符,紧急联系人详细信息,敏感,个人信息,全球
Chinese,所有域,个人标识符,家庭住址,敏感,个人信息,全球
Chinese,所有域,个人标识符,住宅传真号码,敏感,个人信息,全球
Chinese,所有域,个人标识符,住宅电话号码,敏感,个人信息,全球
Chinese,所有域,个人标识符,家庭邮寄地址,敏感,个人信息,全球
Chinese,所有域,个人标识符,姓名,敏感,个人信息,全球
Chinese,所有域,个人标识符,单次出现的姓或名,非敏感,个人信息,南非
Chinese,所有域,个人标识符,办公室电话号码,敏感,个人信息,全球
Chinese,所有域,个人标识符,工资单编号,高度敏感,个人信息,全球
Chinese,所有域,个人标识符,签名或电子签名,高度敏感,个人信息,全球
Chinese,所有域,个人标识符,签名或电子签名,敏感,个人信息,南非
Chinese,所有域,个人标识符,工作电话号码,敏感,个人信息,全球
Chinese,所有域,个人标识符,员工身份识别记录,高度敏感,个人信息,全球
Chinese,所有域,个人标识符,实时 Global Position System（全球定位系统，GPS）坐标,高度敏感,个人信息,全球
Chinese,所有域,定价,利润,高度敏感,业务信息,全球
Chinese,所有域,定价,未公布或未来价格,高度敏感,业务信息,全球
Chinese,所有域,定价,已公布或上架价格,非敏感,业务信息,全球
Chinese,所有域,专有机构信息,其他专有机构信息,高度敏感,业务信息,全球
Chinese,所有域,专有机构信息,专利或专有技术或数据,高度敏感,业务信息,全球
Chinese,所有域,公开信息,其他公开信息,非敏感,业务信息,全球
Chinese,所有域,公开信息,公司电话,非敏感,业务信息,全球
Chinese,所有域,公开信息,公司名称 ,非敏感,业务信息,全球
Chinese,所有域,公开信息,执行官,非敏感,业务信息,全球
Chinese,所有域,公开信息,已公布的年度报告,非敏感,业务信息,全球
Chinese,所有域,公开信息,已公布的公司联系信息 ,非敏感,业务信息,全球
Chinese,所有域,公开信息,已公布的配送中心,非敏感,业务信息,全球
Chinese,所有域,公开信息,已出版的市场推广材料 ,非敏感,业务信息,全球
Chinese,所有域,公开信息,已公布的新闻稿信息 ,非敏感,业务信息,全球
Chinese,所有域,公开信息,已公布的营业地址 ,非敏感,业务信息,全球
Chinese,所有域,公开信息,已公布的 IP 地址,非敏感,业务信息,全球
Chinese,所有域,公开信息,已公布的自有品牌 ,非敏感,业务信息,全球
Chinese,所有域,公开信息,已公开公布的商店和零售平方英尺数 ,非敏感,业务信息,全球
Chinese,所有域,购买历史记录信息,订单/购买历史记录（购买的商品和服务）,敏感,业务信息,全球
Chinese,所有域,购买历史记录信息,个人客户订单/购买历史记录（商品和服务）,高度敏感,个人信息,全球
Chinese,所有域,购买历史记录信息,企业客户订单/购买历史记录（商品和服务）,高度敏感,业务信息,全球
Chinese,所有域,房地产,房地产商业计划,高度敏感,业务信息,全球
Chinese,所有域,房地产,增长战略,高度敏感,业务信息,全球
Chinese,所有域,房地产,业主和开发商提供的信息 ,敏感,业务信息,全球
Chinese,所有域,房地产,不动产所有权记录 ,高度敏感,业务信息,南非
Chinese,所有域,房地产,由审计与合规部执行的建议或评估,高度敏感,业务信息,全球
Chinese,所有域,房地产,开业计划或项目,高度敏感,业务信息,全球
Chinese,所有域,房地产,业绩成果（包括开业后一年内的预期业绩、审计后审查和与销售相关的 Objectives And Key Results（目标与关键成果，OKR））,高度敏感,业务信息,全球
Chinese,所有域,风险管理 ,其他风险数据，如审计得分、International Organization for Standardization（国际标准化组织，ISO）得分,高度敏感,业务信息,全球
Chinese,所有域,发货追踪器,实时 Global Position System（全球定位系统，GPS）坐标,敏感,业务信息,全球
Chinese,所有域,特殊个人信息属性,残疾相关信息,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,民族,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,与 13 岁以下孩子相关的信息,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,与 14 岁以下孩子相关的信息,高度敏感,个人信息,中国
Chinese,所有域,特殊个人信息属性,与 18 岁以下孩子相关的信息,高度敏感,个人信息,中美洲
Chinese,所有域,特殊个人信息属性,与 18 岁以下孩子相关的信息,高度敏感,个人信息,南非
Chinese,所有域,特殊个人信息属性,国籍,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,政治立场,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,政治派别或隶属俱乐部,敏感,个人信息,南非
Chinese,所有域,特殊个人信息属性,宗教或其他信仰,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,性取向,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,工会会籍,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,国籍,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,公民身份状态,高度敏感,个人信息,南非
Chinese,所有域,特殊个人信息属性,出生所在国家/地区,敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,居住国家/地区,敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,性别,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,性别,敏感,个人信息,南非
Chinese,所有域,特殊个人信息属性,婚姻状况,高度敏感,个人信息,全球
Chinese,所有域,特殊个人信息属性,婚姻状况或历史记录,敏感,个人信息,南非
Chinese,员工数字体验,变更咨询委员会,正常/预先计划的冻结期,敏感,业务信息,全球
Chinese,员工数字体验,变更咨询委员会,紧急冻结期,高度敏感,业务信息,全球
Chinese,公司,就业信息,Associate Engagement Survey（员工敬业度调查，AES）调查回复（匿名）,高度敏感,业务信息,全球
Chinese,公司,就业信息,匿名调查回复 ,敏感,业务信息,全球
Chinese,公司,就业信息,刷卡进出日志,高度敏感,个人信息,加拿大
Chinese,公司,就业信息,刷卡进出日志,敏感,个人信息,全球
Chinese,公司,专有机构信息,董事会会议信息,高度敏感,业务信息,全球
Chinese,公司,专有机构信息,会议出席情况（如果不需要提供个人信息）,非敏感,业务信息,南非
Chinese,电子商务,专有机构信息,IT 安全信息或安全数据,高度敏感,业务信息,全球
Chinese,电子商务,专有机构信息,登录凭据；帐户代码、号码或详细信息,高度敏感,业务信息,全球
Chinese,金融,财务管理,关闭/合并,高度敏感,业务信息,全球
Chinese,金融,财务管理,报告,高度敏感,业务信息,全球
Chinese,金融,财务管理,控制与审计,高度敏感,业务信息,全球
Chinese,金融,财务管理,资产负债表分析,高度敏感,业务信息,全球
Chinese,金融,财务管理,Profit And Loss（损益，P&L）分析,高度敏感,业务信息,全球
Chinese,金融,财务管理,核对,高度敏感,业务信息,全球
