Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
SOUTHWEST BU,06 - South Texas,569,1041,9.6%,7.3%,2.9%,-2.4%,0:42:58,0:51:31,0:44:46,0:41:01,0:22:15,0:22:48,56.8%,50.6%,93.5%,133.0%,4.9%,5.2%,0.6%,-4.8%,804,"1,108"
SOUTHWEST BU,06 - South Texas,85,1042,-2.6%,-4.5%,3.1%,-1.7%,0:41:50,0:40:45,0:30:05,0:28:50,0:21:15,0:21:23,60.1%,62.6%,85.8%,10.5%,-8.2%,-10.1%,5.4%,0.8%,"1,496","1,652"
SOUTHWEST BU,"44 - Oklahoma, N TX",350,1043,-7.2%,-7.1%,5.1%,-0.5%,0:21:51,0:24:02,0:28:20,0:28:40,0:23:29,0:22:31,67.5%,62.5%,-34.4%,-30.8%,-8.4%,-9.4%,4.7%,3.1%,"2,044","2,200"
SOUTHWEST BU,05 - Dallas,45,1044,16.5%,2.3%,12.8%,6.9%,0:23:25,0:22:11,0:35:13,0:36:22,0:20:43,0:21:41,85.5%,73.5%,50.0%,41.0%,11.1%,-6.2%,14.9%,22.1%,233,"1,034"
WEST BU,54 - Rocky Mountain,379,1045,21.8%,7.4%,-5.9%,1.9%,0:26:15,0:20:48,0:31:41,0:32:18,0:29:15,0:28:15,54.4%,60.3%,-53.9%,-57.5%,38.9%,2.6%,-2.6%,12.6%,"2,096","2,042"
NORTH BU,41 - Indy / KY,257,1048,-8.5%,-3.4%,-7.2%,-8.3%,0:40:13,0:39:31,0:22:11,0:24:24,0:23:09,0:22:43,52.9%,50.0%,-1.4%,-41.6%,-0.2%,-3.6%,-2.3%,-4.4%,"2,372","2,326"
SOUTHWEST BU,07 - W TX / N NM,71,1051,6.2%,1.0%,10.4%,5.7%,0:06:10,0:06:03,0:25:41,0:21:08,0:18:46,0:16:56,88.9%,86.6%,41.3%,77.4%,9.1%,1.2%,2.9%,1.1%,"1,316","1,476"
NORTH BU,41 - Indy / KY,242,1053,11.8%,-1.2%,5.5%,0.0%,0:12:37,0:12:56,0:37:43,0:36:48,0:19:19,0:19:57,80.2%,79.7%,-58.6%,-50.1%,3.1%,-5.6%,9.4%,2.2%,"1,236","2,046"
WEST BU,47 - Frontier,411,1054,11.7%,17.9%,13.9%,12.5%,0:25:08,0:28:10,0:40:40,0:39:52,0:31:51,0:34:05,72.5%,59.0%,36.4%,1.5%,2.3%,13.3%,17.2%,10.2%,"2,078","2,190"
SOUTHWEST BU,05 - Dallas,583,1055,-5.5%,-3.9%,-5.4%,-4.5%,0:20:41,0:23:33,0:29:24,0:29:56,0:20:02,0:19:36,59.1%,58.7%,-51.7%,-51.1%,-9.0%,-5.9%,-6.4%,-3.2%,743,938
SOUTHWEST BU,"44 - Oklahoma, N TX",353,1056,8.7%,0.4%,13.4%,11.7%,0:15:01,0:14:01,0:25:18,0:25:42,0:23:28,0:22:48,82.3%,76.4%,20.5%,-17.6%,35.7%,-0.1%,-0.9%,5.4%,"1,335","1,788"
WEST BU,54 - Rocky Mountain,388,1058,15.1%,6.4%,-2.4%,-4.9%,0:18:21,0:16:04,0:40:22,0:41:14,0:30:28,0:28:38,64.0%,69.8%,366.3%,78.3%,15.0%,-4.9%,11.3%,10.2%,"1,261","1,732"
SOUTHEAST BU,11 - Memphis,138,1059,-5.4%,-7.1%,-3.6%,-3.8%,0:16:01,0:16:43,0:15:19,0:16:57,0:14:56,0:14:45,45.8%,48.7%,-91.1%,-71.0%,-5.0%,-9.6%,-2.5%,-0.9%,"2,141","2,048"
SOUTHWEST BU,06 - South Texas,63,1062,17.7%,15.8%,20.9%,17.3%,0:11:10,0:12:25,0:17:07,0:20:33,0:14:43,0:15:35,68.9%,61.9%,-52.0%,8.0%,22.6%,23.7%,18.3%,16.1%,56,90
EAST BU,26 - North Carolina,304,1064,20.8%,14.5%,11.5%,10.3%,0:13:15,0:13:52,0:27:42,0:26:53,0:26:05,0:24:52,64.5%,66.3%,-2.4%,14.2%,23.6%,15.4%,18.8%,11.1%,891,775
SOUTHEAST BU,"42 - AR, MO, LA",325,1065,9.6%,9.1%,5.8%,11.8%,0:16:19,0:19:13,0:09:31,0:11:58,0:19:20,0:21:06,41.7%,41.7%,-21.7%,6.0%,0.7%,10.6%,2.2%,7.8%,"1,383","1,217"
SOUTHWEST BU,"13 - LA, MS",143,1066,23.2%,11.8%,12.4%,5.3%,0:45:56,0:49:20,0:33:33,0:34:56,0:34:36,0:31:27,65.2%,45.5%,23.9%,1.0%,19.7%,10.2%,17.6%,16.2%,456,"1,162"
SOUTHEAST BU,09 - S. Florida,92,1068,7.1%,12.7%,1.5%,10.3%,0:14:03,0:13:42,0:31:02,0:33:09,0:33:12,0:32:23,62.4%,63.2%,-1.9%,-6.1%,12.4%,15.6%,-8.1%,3.7%,370,136
SOUTHEAST BU,02 - Atlanta GA,18,1070,0.5%,-1.8%,-7.1%,-2.6%,0:30:19,0:31:53,0:41:15,0:38:02,0:24:52,0:23:42,90.9%,84.8%,-39.3%,-20.8%,2.0%,-3.5%,-11.1%,-1.6%,"1,629","1,601"
NORTH BU,40 - Missouri,341,1071,1.8%,-8.0%,-2.4%,-9.1%,0:24:32,0:29:29,0:39:15,0:38:46,0:31:21,0:31:14,57.8%,51.2%,-23.7%,-59.9%,3.1%,-11.5%,0.0%,-8.2%,"1,498","2,245"
SOUTHEAST BU,"03 - GA, FL",27,1072,21.6%,14.6%,16.1%,13.3%,0:27:07,0:29:31,0:42:31,0:40:25,0:33:05,0:31:18,57.8%,54.5%,-77.1%,-24.6%,36.3%,21.3%,6.8%,6.8%,983,"1,060"
SOUTHEAST BU,11 - Memphis,136,1074,5.2%,7.0%,1.6%,1.4%,0:27:04,0:32:11,0:26:31,0:27:55,0:26:48,0:28:04,56.0%,47.3%,-78.7%,-38.7%,-5.4%,0.5%,14.7%,7.7%,"1,544","1,594"
SOUTHEAST BU,12 - Nashville,149,1075,-4.8%,-6.4%,-15.5%,-16.4%,0:23:24,0:22:01,0:39:47,0:38:36,0:21:50,0:21:13,57.1%,60.1%,-64.9%,-26.3%,-10.0%,-14.1%,-19.6%,-17.0%,"1,611","1,364"
SOUTHEAST BU,02 - Atlanta GA,32,1076,-4.7%,-1.2%,-10.2%,-7.0%,0:28:44,0:26:24,0:27:10,0:27:31,0:25:19,0:25:21,37.1%,41.5%,-84.3%,-75.2%,-9.9%,-12.1%,-1.9%,0.2%,"2,550","2,537"
SOUTHEAST BU,12 - Nashville,124,1080,13.9%,8.2%,17.3%,8.9%,0:17:12,0:18:05,0:33:37,0:37:45,0:22:18,0:21:57,67.0%,70.1%,-16.1%,-45.3%,5.3%,6.1%,12.7%,7.6%,658,683
SOUTHEAST BU,"03 - GA, FL",93,1081,0.5%,-2.5%,-17.0%,-13.9%,0:26:14,0:29:10,0:37:38,0:36:35,0:31:54,0:33:48,56.5%,51.9%,-71.8%,-53.1%,6.9%,5.2%,-23.6%,-18.8%,"1,240","1,431"
SOUTHEAST BU,"03 - GA, FL",104,1085,-7.1%,0.4%,5.6%,13.0%,0:20:54,0:19:20,0:38:02,0:38:55,0:29:31,0:28:57,65.2%,70.1%,-57.6%,-44.7%,-3.1%,8.0%,-1.2%,7.0%,"1,450",689
SOUTHEAST BU,09 - S. Florida,90,1086,-11.1%,-5.6%,-1.4%,1.2%,0:07:18,0:05:58,0:24:53,0:22:17,0:23:58,0:24:06,77.0%,81.8%,-68.8%,-76.3%,-24.4%,-12.7%,12.6%,11.2%,721,409
SOUTHEAST BU,09 - S. Florida,107,1087,11.6%,-0.1%,-8.3%,-7.7%,0:24:59,0:22:49,0:32:13,0:33:09,0:26:50,0:26:49,40.8%,45.7%,-62.1%,-60.6%,29.8%,7.1%,-12.3%,-14.5%,"1,065","1,231"
SOUTHEAST BU,12 - Nashville,120,1089,-1.2%,-3.0%,-5.0%,-2.0%,0:16:52,0:20:04,0:20:12,0:21:25,0:17:28,0:17:13,69.9%,68.6%,-65.8%,-57.7%,4.1%,-3.3%,-3.2%,3.5%,"1,324","1,556"
SOUTHEAST BU,"03 - GA, FL",101,1090,19.8%,16.6%,43.8%,40.9%,0:30:33,0:30:30,0:31:24,0:31:23,0:27:22,0:26:02,44.6%,44.4%,-16.2%,31.7%,10.4%,9.2%,67.8%,63.8%,134,134
SOUTHEAST BU,"14 - AL, FL",7,1091,20.0%,15.4%,8.7%,6.2%,0:19:34,0:30:54,0:25:55,0:29:23,0:25:34,0:23:01,62.7%,50.6%,-39.7%,-27.7%,31.2%,21.1%,1.7%,2.2%,510,"1,244"
NORTH BU,25 - Chicago / IL,273,1093,4.2%,3.0%,-8.1%,-6.0%,0:21:28,0:22:17,0:40:12,0:41:04,0:29:48,0:32:19,38.6%,39.6%,-32.0%,-25.9%,1.7%,0.0%,-18.8%,-10.6%,"2,404","2,396"
EAST BU,26 - North Carolina,304,1096,7.7%,-3.1%,6.6%,1.6%,0:16:42,0:18:53,0:26:05,0:28:06,0:26:05,0:26:17,67.8%,68.2%,-65.2%,-59.5%,-0.9%,-9.6%,19.8%,7.4%,"1,260","2,104"
EAST BU,26 - North Carolina,309,1097,7.9%,-5.8%,-3.6%,-1.5%,0:13:24,0:14:25,0:34:29,0:32:48,0:26:56,0:29:38,72.5%,67.7%,-57.2%,-58.8%,14.2%,0.6%,-16.3%,-5.6%,"1,579","2,156"
SOUTHWEST BU,06 - South Texas,84,1098,13.5%,10.3%,16.4%,11.3%,0:19:14,0:23:33,0:28:38,0:33:24,0:28:24,0:27:54,71.4%,79.5%,-51.3%,-44.6%,13.9%,13.8%,11.6%,8.9%,"1,389","1,378"
SOUTHWEST BU,"44 - Oklahoma, N TX",409,1099,1.2%,1.6%,4.4%,0.8%,0:46:41,0:46:31,0:31:44,0:32:17,0:22:55,0:23:35,41.8%,38.4%,-11.8%,-31.3%,-13.1%,-8.0%,10.6%,2.5%,"1,533","1,705"
SOUTHEAST BU,11 - Memphis,137,1100,-11.4%,-1.6%,1.7%,7.3%,0:29:55,0:33:12,0:18:55,0:17:54,0:29:02,0:23:42,42.4%,41.3%,-80.5%,-69.3%,-7.5%,0.5%,-10.8%,0.7%,"2,494","2,262"
SOUTHEAST BU,"14 - AL, FL",8,1101,0.7%,1.0%,-2.8%,0.8%,0:34:11,0:31:39,0:29:40,0:35:25,0:25:24,0:27:16,48.3%,50.0%,-31.7%,5.1%,8.4%,-0.4%,-7.5%,5.6%,"2,454","2,354"
SOUTHWEST BU,"13 - LA, MS",130,1102,21.1%,13.1%,29.3%,16.8%,0:21:44,0:21:28,0:22:04,0:23:13,0:17:32,0:17:25,44.4%,46.0%,-62.4%,-71.9%,17.8%,18.5%,29.2%,23.3%,"1,842","1,866"
SOUTHWEST BU,06 - South Texas,59,1103,9.7%,12.7%,1.4%,4.9%,0:18:39,0:18:47,0:30:21,0:33:11,0:17:31,0:17:17,55.8%,65.5%,18.7%,-2.7%,22.6%,17.9%,5.1%,0.8%,472,160
SOUTHEAST BU,"03 - GA, FL",95,1104,2.3%,5.6%,8.3%,15.2%,0:23:56,0:23:23,0:38:34,0:36:35,0:21:08,0:22:04,66.0%,70.0%,-15.0%,44.0%,-1.9%,8.2%,11.6%,22.1%,346,115
SOUTHEAST BU,"42 - AR, MO, LA",326,1105,-5.9%,-11.5%,-15.2%,-13.0%,0:21:20,0:21:43,0:18:40,0:17:21,0:14:34,0:13:54,70.7%,73.7%,-41.3%,-42.2%,-3.7%,-13.2%,-20.7%,-17.4%,"1,809","1,783"
SOUTHWEST BU,"13 - LA, MS",134,1107,17.7%,5.6%,9.2%,1.8%,0:29:21,0:32:38,0:22:52,0:21:42,0:18:21,0:18:25,44.0%,39.4%,8.6%,-21.4%,15.2%,5.2%,21.7%,9.3%,"1,322","1,952"
SOUTHEAST BU,02 - Atlanta GA,21,1111,-16.0%,-4.0%,-19.8%,-2.4%,0:09:19,0:11:55,0:27:48,0:29:09,0:14:36,0:15:09,91.9%,83.6%,6.9%,-15.2%,-39.9%,-11.7%,1.9%,11.8%,"2,086","1,730"
SOUTHEAST BU,"14 - AL, FL",16,1112,-6.8%,-6.7%,11.0%,10.4%,0:31:32,0:30:19,0:29:34,0:30:20,0:26:48,0:27:54,41.0%,40.6%,-19.4%,-44.0%,-8.8%,-10.9%,6.3%,5.8%,"2,166","2,159"
NORTH BU,"20 - VA, OH, PA, WV",258,1113,-4.5%,-5.7%,-10.7%,-15.3%,0:24:21,0:28:55,0:34:49,0:33:46,0:31:01,0:31:51,52.1%,46.7%,-71.4%,-47.2%,-8.6%,-9.3%,-6.2%,-11.6%,"2,145","2,280"
SOUTHEAST BU,"42 - AR, MO, LA",328,1114,1.5%,-1.9%,1.7%,-3.6%,0:23:29,0:22:49,0:29:30,0:28:49,0:33:34,0:32:09,61.5%,62.2%,-20.0%,-40.1%,10.3%,0.3%,0.8%,0.5%,"2,232","2,311"
SOUTHWEST BU,"44 - Oklahoma, N TX",349,1116,6.3%,-1.9%,-2.4%,-1.3%,0:07:56,0:09:19,0:27:44,0:30:33,0:16:53,0:17:29,95.6%,89.4%,-35.3%,-24.7%,11.3%,0.8%,-5.9%,-5.0%,301,600
SOUTHWEST BU,05 - Dallas,51,1117,-3.9%,6.9%,0.8%,8.9%,0:24:50,0:25:16,0:32:04,0:32:57,0:23:27,0:23:14,34.0%,39.6%,-41.1%,-20.3%,-5.5%,0.6%,2.6%,10.9%,"1,930",925
SOUTHWEST BU,05 - Dallas,55,1118,3.4%,1.5%,-4.8%,-4.8%,0:29:22,0:34:07,0:26:10,0:27:53,0:21:52,0:21:33,57.7%,58.9%,-63.2%,-44.1%,-10.6%,-9.5%,1.2%,-2.1%,"1,682","1,687"
NORTH BU,40 - Missouri,360,1120,-3.4%,-9.3%,-9.2%,-15.2%,0:33:30,0:36:25,0:33:06,0:34:45,0:25:51,0:28:08,37.2%,38.4%,300.1%,22.3%,-3.7%,-15.3%,-6.0%,-12.1%,"1,938","2,180"
SOUTHEAST BU,02 - Atlanta GA,21,1121,5.3%,8.7%,16.0%,20.5%,0:09:45,0:13:52,0:14:32,0:16:12,0:11:24,0:12:29,85.7%,65.1%,32.3%,26.6%,-1.7%,6.3%,7.5%,18.5%,"1,214","1,193"
SOUTHEAST BU,02 - Atlanta GA,18,1122,-0.3%,-9.6%,2.0%,1.5%,0:19:16,0:18:13,0:43:59,0:36:22,0:31:13,0:23:17,83.2%,76.2%,37.9%,-21.5%,-3.3%,-13.7%,-1.7%,3.4%,"1,012",970
EAST BU,04 - South Carolina,35,1123,9.0%,13.7%,-4.2%,8.0%,0:29:00,0:24:31,0:21:55,0:19:11,0:23:53,0:22:53,35.2%,42.9%,21.6%,20.5%,6.5%,14.2%,-3.0%,12.0%,"1,770",621
SOUTHEAST BU,11 - Memphis,137,1124,5.7%,4.9%,9.6%,8.0%,0:15:32,0:22:01,0:22:15,0:22:40,0:17:35,0:18:48,91.7%,76.8%,-40.8%,3.7%,5.6%,-1.6%,23.2%,15.7%,"1,164","1,692"
NORTH BU,25 - Chicago / IL,278,1125,0.0%,12.6%,4.8%,14.4%,0:15:22,0:15:32,0:30:56,0:29:25,0:22:39,0:22:20,66.3%,68.4%,-33.8%,-42.7%,6.5%,11.0%,15.2%,16.0%,"1,647",699
SOUTHWEST BU,07 - W TX / N NM,506,1126,16.8%,6.5%,21.8%,15.6%,0:23:58,0:23:35,0:36:55,0:33:54,0:23:40,0:23:47,57.7%,59.9%,-25.5%,-24.1%,23.9%,3.3%,18.4%,13.7%,"1,003","1,111"
SOUTHWEST BU,"13 - LA, MS",134,1128,7.5%,0.9%,7.5%,5.8%,0:25:16,0:22:22,0:22:11,0:21:27,0:23:58,0:24:53,64.1%,67.2%,153.2%,-49.4%,-4.1%,-1.3%,12.0%,7.7%,"2,036","2,191"
SOUTHWEST BU,07 - W TX / N NM,82,1129,9.6%,7.8%,6.3%,-1.1%,0:35:51,0:39:47,0:42:56,0:44:40,0:21:01,0:22:59,40.3%,43.8%,-20.2%,-25.5%,6.0%,14.8%,5.3%,-2.4%,"1,163","1,707"
EAST BU,26 - North Carolina,298,1132,27.6%,8.1%,12.0%,5.7%,0:29:19,0:28:07,0:31:52,0:33:19,0:27:22,0:28:08,52.7%,44.0%,327.2%,28.2%,25.8%,1.7%,20.4%,13.6%,922,"1,820"
EAST BU,26 - North Carolina,306,1133,3.1%,-6.3%,-13.6%,-18.0%,0:28:09,0:27:33,0:31:36,0:31:57,0:22:52,0:22:52,61.4%,53.2%,-3.6%,-19.8%,-3.4%,-9.8%,-20.5%,-21.3%,"2,155","2,432"
SOUTHEAST BU,"14 - AL, FL",7,1134,10.3%,10.1%,21.1%,25.1%,0:34:19,0:36:17,0:36:20,0:39:06,0:32:27,0:34:02,69.8%,65.3%,-22.0%,-27.4%,18.0%,13.6%,19.6%,29.0%,432,468
EAST BU,04 - South Carolina,38,1135,-16.9%,-10.4%,-14.2%,-19.8%,0:24:44,0:24:39,0:27:31,0:27:30,0:25:00,0:24:07,62.0%,64.5%,-21.5%,2.9%,-16.2%,-13.7%,-16.3%,-23.0%,"2,140","1,794"
SOUTHWEST BU,"13 - LA, MS",131,1136,7.4%,8.0%,5.8%,1.6%,0:18:09,0:20:09,0:27:51,0:28:06,0:26:30,0:25:55,65.2%,64.1%,75.3%,-28.7%,13.0%,21.9%,8.1%,3.5%,"1,658","1,743"
NORTH BU,21 - OH/IN,259,1139,0.1%,-3.2%,8.9%,0.0%,0:49:52,0:51:34,0:27:54,0:29:53,0:18:31,0:19:19,36.4%,31.5%,79.2%,23.5%,13.2%,0.3%,4.4%,3.3%,"1,429","1,816"
NORTH BU,21 - OH/IN,259,1140,3.1%,-0.4%,5.1%,3.2%,0:16:19,0:19:10,0:28:58,0:30:26,0:24:49,0:26:06,58.6%,52.9%,61.0%,-19.2%,-1.4%,-0.3%,1.7%,0.2%,993,"1,419"
NORTH BU,41 - Indy / KY,249,1141,0.3%,4.6%,-1.5%,0.7%,0:36:51,0:29:27,0:40:47,0:39:26,0:29:34,0:24:15,44.6%,50.7%,35.7%,3.8%,4.9%,4.4%,-6.1%,-0.8%,"2,361","1,941"
NORTH BU,41 - Indy / KY,243,1142,14.7%,18.0%,11.9%,21.7%,0:11:42,0:12:51,0:21:59,0:22:27,0:18:08,0:18:17,81.6%,81.6%,166.7%,64.5%,18.6%,17.6%,13.9%,20.6%,162,84
SOUTHEAST BU,02 - Atlanta GA,30,1143,-7.2%,1.1%,2.4%,5.5%,0:23:21,0:20:08,0:24:20,0:25:15,0:33:06,0:31:57,56.7%,53.8%,-80.6%,-67.1%,-10.9%,-1.2%,12.0%,14.2%,"2,448","2,129"
EAST BU,04 - South Carolina,42,1144,6.7%,6.4%,13.1%,5.5%,0:10:22,0:13:14,0:23:14,0:24:41,0:22:27,0:23:06,75.6%,69.1%,47.1%,33.8%,0.0%,0.2%,16.1%,5.6%,314,547
EAST BU,04 - South Carolina,36,1146,1.4%,-0.2%,6.2%,-0.1%,0:33:16,0:45:03,0:28:13,0:22:22,0:19:55,0:18:06,17.0%,14.6%,-81.7%,-74.2%,1.2%,-4.1%,14.4%,23.2%,"2,022","2,244"
SOUTHEAST BU,"42 - AR, MO, LA",328,1147,14.1%,2.1%,14.3%,6.7%,0:17:33,0:15:50,0:19:55,0:19:52,0:22:57,0:21:43,69.2%,73.1%,-7.2%,-14.8%,8.6%,-3.6%,15.5%,10.2%,886,"1,370"
SOUTHWEST BU,"44 - Oklahoma, N TX",349,1148,-3.6%,-7.5%,-10.9%,-6.2%,0:30:17,0:25:37,0:20:21,0:20:30,0:16:37,0:15:44,91.5%,86.5%,-39.4%,-50.7%,-6.5%,-11.4%,-14.5%,-5.9%,"1,991","1,879"
SOUTHWEST BU,46 - Phoenix,367,1149,12.6%,0.8%,30.8%,13.7%,0:16:45,0:15:55,0:35:17,0:37:17,0:26:55,0:29:06,65.7%,66.0%,113.2%,34.6%,-2.3%,-13.9%,51.9%,31.4%,74,270
SOUTHWEST BU,06 - South Texas,85,1150,0.9%,7.0%,9.2%,5.0%,0:19:28,0:23:56,0:29:47,0:33:31,0:27:20,0:28:43,82.3%,76.4%,-29.9%,-39.6%,-6.6%,3.5%,12.3%,6.0%,"1,066",821
NORTH BU,40 - Missouri,362,1151,15.8%,13.5%,15.6%,11.6%,0:23:36,0:22:39,0:27:21,0:27:10,0:31:52,0:32:02,53.0%,52.1%,-64.4%,-65.7%,12.3%,10.4%,16.6%,10.9%,667,612
SOUTHEAST BU,02 - Atlanta GA,32,1153,-7.0%,-2.4%,-21.0%,-9.6%,0:22:19,0:21:35,0:10:36,0:08:50,0:14:35,0:12:51,31.3%,34.0%,-78.3%,-50.0%,-21.6%,-11.8%,-16.1%,-4.1%,"2,534","2,486"
SOUTHWEST BU,07 - W TX / N NM,506,1154,12.1%,7.1%,15.6%,24.6%,0:09:40,0:10:48,0:30:58,0:29:58,0:20:43,0:20:19,87.8%,91.0%,-17.3%,7.1%,4.1%,-0.7%,23.0%,34.9%,708,641
EAST BU,04 - South Carolina,310,1155,7.9%,4.3%,8.5%,6.9%,0:26:37,0:27:18,0:22:27,0:21:58,0:19:37,0:18:57,65.3%,66.1%,-3.9%,60.5%,7.4%,-4.0%,11.0%,9.5%,373,366
EAST BU,26 - North Carolina,306,1156,-2.5%,-2.3%,9.2%,12.7%,0:18:28,0:16:36,0:31:07,0:30:52,0:21:02,0:19:18,65.5%,65.3%,-55.4%,-5.7%,-5.6%,-10.0%,7.7%,19.0%,"1,485","1,191"
SOUTHEAST BU,"14 - AL, FL",2,1158,6.4%,2.8%,20.1%,12.1%,0:10:15,0:09:50,0:27:53,0:29:28,0:22:27,0:25:55,72.1%,75.3%,-25.2%,-21.9%,0.0%,5.4%,20.0%,13.6%,"1,462","1,568"
NORTH BU,41 - Indy / KY,243,1160,9.9%,8.7%,5.6%,4.9%,0:13:18,0:15:00,0:25:25,0:27:31,0:17:09,0:17:36,74.4%,69.8%,-40.1%,-28.7%,1.0%,5.0%,8.0%,0.4%,248,276
NORTH BU,40 - Missouri,339,1161,-7.8%,-6.6%,-7.5%,-6.9%,0:49:47,0:44:23,0:36:59,0:35:49,0:21:29,0:21:09,34.1%,41.1%,-18.5%,-18.4%,-7.6%,-3.0%,-7.5%,-11.2%,"2,153","2,141"
NORTH BU,41 - Indy / KY,580,1162,-5.5%,-8.6%,0.1%,-4.8%,0:25:01,0:23:51,0:29:19,0:30:38,0:29:23,0:30:33,49.2%,50.3%,-67.0%,-27.1%,-8.6%,-12.4%,3.0%,1.1%,"2,481","2,495"
SOUTHWEST BU,"13 - LA, MS",125,1163,11.1%,9.9%,28.1%,11.3%,0:34:41,0:35:21,0:21:41,0:23:50,0:25:59,0:24:44,39.6%,37.6%,-37.0%,-62.8%,7.3%,12.6%,31.1%,17.3%,"1,304","1,616"
EAST BU,04 - South Carolina,41,1164,28.0%,22.1%,10.1%,9.7%,0:40:01,0:33:15,0:28:57,0:30:01,0:22:24,0:19:54,25.5%,37.2%,-27.1%,-10.4%,51.3%,34.1%,1.6%,5.3%,"1,320","1,042"
NORTH BU,41 - Indy / KY,256,1165,3.3%,0.1%,7.0%,2.1%,0:15:15,0:14:26,0:23:35,0:25:01,0:22:23,0:22:07,74.5%,77.7%,153.4%,189.0%,5.4%,-1.5%,7.3%,0.0%,136,168
SOUTHWEST BU,"13 - LA, MS",141,1168,1.4%,1.0%,-1.3%,-1.7%,0:18:59,0:21:15,0:28:40,0:30:27,0:20:28,0:20:40,44.7%,53.1%,75.1%,-74.0%,2.9%,1.2%,1.0%,-0.7%,"1,554","1,640"
SOUTHEAST BU,"03 - GA, FL",98,1173,-4.4%,2.0%,-11.2%,-1.0%,0:27:05,0:22:39,0:30:41,0:28:28,0:19:32,0:19:42,49.7%,57.3%,-52.0%,-3.3%,-5.9%,6.0%,-17.9%,-6.7%,"1,662",591
SOUTHEAST BU,"14 - AL, FL",14,1174,8.1%,-2.5%,12.9%,4.5%,0:23:18,0:22:12,0:25:03,0:25:57,0:23:10,0:22:27,47.2%,60.9%,20.3%,56.0%,13.6%,-3.2%,14.1%,5.6%,"1,477","1,891"
NORTH BU,40 - Missouri,340,1177,-10.2%,-12.8%,-9.8%,-11.6%,0:44:01,0:36:23,0:34:42,0:34:48,0:31:34,0:30:09,33.6%,36.5%,-21.7%,-41.9%,-12.2%,-14.9%,1.5%,-2.2%,"2,544","2,553"
SOUTHWEST BU,05 - Dallas,50,1178,-19.5%,-4.2%,-14.5%,2.2%,0:22:13,0:25:03,0:49:54,0:50:11,0:25:39,0:25:45,67.5%,56.3%,-85.6%,-51.3%,-48.5%,-19.0%,-6.7%,8.4%,"2,412","2,359"
NORTH BU,41 - Indy / KY,243,1180,41.6%,24.9%,30.7%,19.4%,0:08:41,0:09:43,0:17:21,0:19:26,0:14:38,0:16:49,83.1%,80.4%,7.5%,5.5%,56.7%,32.0%,6.7%,11.5%,214,299
SOUTHEAST BU,"03 - GA, FL",94,1182,12.2%,14.4%,11.1%,17.2%,0:30:52,0:28:39,0:32:20,0:34:07,0:24:18,0:24:34,53.9%,53.4%,-24.5%,72.7%,10.7%,14.9%,19.8%,20.7%,221,96
EAST BU,04 - South Carolina,41,1183,1.3%,4.7%,-6.3%,3.9%,0:17:20,0:20:17,0:33:38,0:36:33,0:19:06,0:20:14,55.9%,55.3%,-38.7%,-24.3%,3.6%,5.1%,2.6%,8.9%,"1,511","1,311"
SOUTHEAST BU,02 - Atlanta GA,23,1184,28.5%,10.6%,27.5%,12.6%,0:24:47,0:22:31,0:33:48,0:33:23,0:26:53,0:25:36,57.3%,62.3%,-53.7%,-24.3%,36.6%,20.1%,31.9%,10.6%,598,768
SOUTHWEST BU,07 - W TX / N NM,83,1185,26.3%,23.4%,67.3%,31.4%,0:38:03,0:31:43,0:36:23,0:36:03,0:27:26,0:26:48,28.2%,35.4%,-55.5%,-63.0%,6.6%,13.0%,118.5%,40.8%,916,774
SOUTHWEST BU,06 - South Texas,60,1186,4.2%,6.6%,13.0%,15.1%,0:13:18,0:14:28,0:22:11,0:22:46,0:16:53,0:16:01,72.9%,68.5%,-11.6%,-39.0%,-1.1%,8.2%,17.5%,19.2%,723,466
SOUTHWEST BU,"44 - Oklahoma, N TX",410,1187,-22.7%,-19.9%,-14.2%,-13.3%,0:09:59,0:09:49,0:24:04,0:24:58,0:23:49,0:23:25,83.3%,70.7%,-15.1%,-40.3%,-23.4%,-23.7%,7.5%,-0.5%,"2,278","2,321"
NORTH BU,41 - Indy / KY,257,1190,4.2%,2.8%,2.0%,5.0%,0:26:07,0:26:06,0:20:30,0:22:11,0:21:28,0:20:51,46.8%,56.7%,-9.9%,38.3%,1.8%,2.9%,4.8%,5.9%,"1,558","1,268"
EAST BU,26 - North Carolina,296,1191,10.4%,11.3%,21.3%,21.4%,0:23:05,0:19:13,0:37:58,0:46:06,0:22:50,0:23:21,60.0%,61.1%,-41.2%,8.2%,-5.1%,4.5%,20.3%,18.9%,"1,362",968
SOUTHWEST BU,"13 - LA, MS",141,1192,17.7%,0.4%,2.8%,0.0%,0:19:09,0:22:41,0:22:35,0:25:03,0:24:28,0:24:19,58.8%,58.0%,6.7%,-2.1%,13.8%,-1.6%,2.7%,5.4%,751,"1,703"
